epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4533.14,0.61782,0.35931,1.78641,0.91013,0.81784,0.89888,0.76319,1.79112,2.02856,2.6692,6.20555e-05,6.20555e-05,6.20555e-05
87,4585.35,0.62456,0.35889,1.79789,0.91673,0.85853,0.90649,0.76334,1.7256,1.70241,2.57657,6.12981e-05,6.12981e-05,6.12981e-05
88,4637.51,0.63124,0.36344,1.80467,0.90364,0.8665,0.9028,0.75122,1.75124,1.8281,2.61579,6.0538e-05,6.0538e-05,6.0538e-05
89,4690,0.62382,0.36034,1.79257,0.91578,0.85652,0.9077,0.76588,1.78812,1.97101,2.62635,5.97754e-05,5.97754e-05,5.97754e-05
90,4742.47,0.61558,0.35665,1.78903,0.92494,0.87087,0.92122,0.7703,1.76526,1.66426,2.61634,5.90105e-05,5.90105e-05,5.90105e-05
91,4795.04,0.60674,0.35238,1.78377,0.9291,0.88584,0.93074,0.77488,1.71881,1.66947,2.53108,5.82435e-05,5.82435e-05,5.82435e-05
92,4847.36,0.6121,0.35878,1.78746,0.91982,0.85964,0.91023,0.75498,1.7968,1.89421,2.58834,5.74746e-05,5.74746e-05,5.74746e-05
93,4899.9,0.61977,0.36192,1.78879,0.91396,0.89395,0.9281,0.77538,1.71042,1.71622,2.52679,5.6704e-05,5.6704e-05,5.6704e-05
94,4952.04,0.61529,0.35603,1.7899,0.92078,0.87733,0.92282,0.77539,1.72206,1.79013,2.55923,5.59318e-05,5.59318e-05,5.59318e-05
95,5005.27,0.60958,0.34971,1.78138,0.92199,0.87399,0.91853,0.76972,1.7605,1.78585,2.59338,5.51584e-05,5.51584e-05,5.51584e-05
96,5057.41,0.62274,0.35553,1.79708,0.93145,0.85611,0.91444,0.77062,1.75395,1.80226,2.58043,5.43837e-05,5.43837e-05,5.43837e-05
97,5109.73,0.61763,0.35402,1.79171,0.92629,0.88022,0.91675,0.77554,1.75185,1.76616,2.61401,5.36081e-05,5.36081e-05,5.36081e-05
98,5162.28,0.60594,0.3522,1.78234,0.9174,0.85916,0.90892,0.76721,1.73743,1.71201,2.63276,5.28318e-05,5.28318e-05,5.28318e-05
99,5214.74,0.6056,0.34578,1.78165,0.9289,0.87149,0.91816,0.77685,1.70762,1.59347,2.60097,5.20548e-05,5.20548e-05,5.20548e-05
100,5268.09,0.61981,0.35063,1.79049,0.91899,0.87046,0.91315,0.77497,1.72719,1.5956,2.59449,5.12775e-05,5.12775e-05,5.12775e-05
101,5320.21,0.59542,0.3388,1.77769,0.9304,0.86723,0.92072,0.77359,1.72213,1.71553,2.5783,5.05e-05,5.05e-05,5.05e-05
102,5373.04,0.61801,0.35787,1.79182,0.9232,0.88833,0.92308,0.77511,1.69467,1.48335,2.55752,4.97225e-05,4.97225e-05,4.97225e-05
103,5425.2,0.606,0.34361,1.77982,0.91403,0.87648,0.91522,0.76779,1.70832,1.68668,2.5571,4.89452e-05,4.89452e-05,4.89452e-05
104,5477.55,0.59895,0.34695,1.7788,0.92235,0.88184,0.92192,0.77675,1.72507,1.65835,2.57065,4.81682e-05,4.81682e-05,4.81682e-05
105,5530.37,0.60177,0.34647,1.78625,0.92058,0.87461,0.91799,0.77444,1.63366,1.52132,2.47684,4.73919e-05,4.73919e-05,4.73919e-05
106,5583.11,0.59607,0.33997,1.78601,0.92012,0.85278,0.91789,0.77417,1.67586,1.83814,2.50795,4.66163e-05,4.66163e-05,4.66163e-05
107,5635.37,0.60526,0.34035,1.77867,0.90429,0.83968,0.90439,0.76265,1.66434,1.8932,2.49572,4.58416e-05,4.58416e-05,4.58416e-05
108,5687.87,0.61959,0.3473,1.78712,0.88531,0.86213,0.90979,0.75737,1.69027,1.87498,2.50649,4.50682e-05,4.50682e-05,4.50682e-05
109,5741.01,0.60545,0.34081,1.78195,0.88976,0.84654,0.9051,0.74878,1.72477,1.89606,2.55242,4.4296e-05,4.4296e-05,4.4296e-05
110,5793.06,0.59743,0.3444,1.777,0.89314,0.87024,0.91191,0.75676,1.78379,1.83629,2.60672,4.35254e-05,4.35254e-05,4.35254e-05
111,5845.5,0.59935,0.34677,1.77811,0.89172,0.85215,0.90847,0.75629,1.7316,1.94555,2.5831,4.27565e-05,4.27565e-05,4.27565e-05
112,5898.41,0.60241,0.34406,1.78877,0.90374,0.8727,0.91469,0.7671,1.69534,1.76735,2.54146,4.19895e-05,4.19895e-05,4.19895e-05
113,5950.54,0.59581,0.34056,1.77476,0.91381,0.85981,0.91557,0.76807,1.73696,1.6664,2.62365,4.12246e-05,4.12246e-05,4.12246e-05
114,6002.59,0.59728,0.3373,1.77747,0.92141,0.86089,0.91456,0.76974,1.73968,1.57467,2.64099,4.0462e-05,4.0462e-05,4.0462e-05
115,6054.72,0.60839,0.34586,1.78457,0.89794,0.864,0.911,0.76147,1.7844,1.66185,2.6689,3.97019e-05,3.97019e-05,3.97019e-05
